Column 3	Column 4
DEBUG 	Groups:139 -  Creating new Groups object
DEBUG 	Groups:59 - Group mapping impl=org.apache.hadoop.security.ShellBasedUnixGroupsMapping; cacheTimeout=300000
DEBUG 	UserGroupInformation:147 - hadoop login
DEBUG 	UserGroupInformation:96 - hadoop login commit
DEBUG 	UserGroupInformation:126 - using local user:UnixPrincipal: faisal
DEBUG 	UserGroupInformation:558 - UGI loginUser:faisal
DEBUG 	FileSystem:1441 - Creating filesystem for file:///
DEBUG 	SortedRanges:347 - currentIndex 0   0:0
INFO  	GraphTaskManager:623 - setup: Set log level to info
INFO  	GraphTaskManager:596 - setup: Starting up BspServiceMaster (master thread)...
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140158931-0001/_haltComputation
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140158931-0001/_haltComputation
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140158931-0001/_haltComputation
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140158931-0001, 1 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140158931-0001, 1 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140158931-0001, 2 on localhost:2181
INFO  	BspService:345 - BspService: Connecting to ZooKeeper with job job-1453140158931-0001, 2 on localhost:2181
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	GraphTaskManager:605 - setup: Starting up BspServiceWorker...
INFO  	DiskBackedPartitionStore:187 - giraph.maxSticky parameter unset or improperly set resetting to automatically computed value.
INFO  	DiskBackedPartitionStore:208 - DiskBackedPartitionStore with maxInMemoryPartitions=10, isStaticGraph=false
INFO  	BspServiceMaster:888 - becomeMaster: First child is '/_hadoopBsp/job-1453140158931-0001/_masterElectionDir/127.0.0.1_10000000000' and my bid is '/_hadoopBsp/job-1453140158931-0001/_masterElectionDir/127.0.0.1_10000000000'
INFO  	NettyServer:183 - NettyServer: Using execution group with 8 threads for requestFrameDecoder.
INFO  	NettyServer:183 - NettyServer: Using execution group with 8 threads for requestFrameDecoder.
WARN  	NettyServer:366 - start: Likely failed to bind on attempt 0 to port 30001
WARN  	NettyServer:366 - start: Likely failed to bind on attempt 0 to port 30001
INFO  	NettyServer:379 - start: Started server communication server: /127.0.0.1:30011 with up to 16 threads on bind attempt 1 with sendBufferSize = 32768 receiveBufferSize = 524288
WARN  	NettyServer:366 - start: Likely failed to bind on attempt 1 to port 30011
INFO  	NettyServer:379 - start: Started server communication server: /127.0.0.1:30021 with up to 16 threads on bind attempt 2 with sendBufferSize = 32768 receiveBufferSize = 524288
INFO  	NettyClient:241 - NettyClient: Using execution handler with 8 threads after request-encoder.
INFO  	NettyClient:241 - NettyClient: Using execution handler with 8 threads after request-encoder.
INFO  	BspServiceMaster:915 - becomeMaster: I am now the master!
INFO  	GraphTaskManager:609 - setup: Registering health of this worker...
INFO  	WorkerEmulator:69 - *****************taskIndex=1********************
INFO  	GraphTaskManager:627 - setup: Log level remains at info
INFO  	GraphTaskManager:596 - setup: Starting up BspServiceMaster (master thread)...
INFO  	BspService:685 - getJobState: Job state already exists (/_hadoopBsp/job-1453140158931-0001/_masterJobState)
INFO  	BspService:931 - process: Asynchronous connection complete.
INFO  	GraphTaskManager:605 - setup: Starting up BspServiceWorker...
INFO  	BspService:342 - BspService: Path to create to halt is /_hadoopBsp/job-1453140158931-0001/_haltComputation
INFO  	BspService:983 - process: masterElectionChildrenChanged signaled
